day,time,house1,house2
107,SMAPV3008,0.144,0.088
107,SMAPV3009,0.125,0.075
107,SMAPV3010,0.113,0.069
107,SMAPV3011,0.144,0.069
107,SMAPV3012,0.113,0.044
107,SMAPV3013,0.356,1.019
107,SMAPV3014,0.25,1.194
107,SMAPV3015,0.425,0.531
107,SMAPV3016,0.25,1.088
107,SMAPV3017,0.244,1.738
107,SMAPV3018,0.138,1.475
107,SMAPV3019,0.369,1.575
107,SMAPV3020,0.219,1.188
107,SMAPV3021,0.319,1.206
107,SMAPV3022,0.194,0.494
107,SMAPV3023,0.394,0.369
107,SMAPV3024,0.225,0.194
107,SMAPV3025,0.194,0.094
107,SMAPV3026,0.1,0.125
107,SMAPV3027,0.125,0.125
107,SMAPV3028,0.194,0.106
107,SMAPV3029,0.131,0.088
107,SMAPV3030,0.106,0.45
107,SMAPV3031,0.163,0.725
107,SMAPV3032,0.113,0.656
107,SMAPV3033,0.081,0.675
107,SMAPV3034,0.106,0.856
107,SMAPV3035,0.194,0.706
107,SMAPV3036,0.456,1.169
107,SMAPV3037,0.488,1.219
107,SMAPV3038,1.288,0.681
107,SMAPV3039,0.419,0.594
107,SMAPV3040,0.275,0.644
107,SMAPV3041,0.263,0.581
107,SMAPV3042,0.294,0.363
107,SMAPV3043,0.363,0.088
107,SMAPV3044,0.244,0.063
107,SMAPV3045,0.269,0.063
107,SMAPV3046,0.2,0.075
107,SMAPV3047,0.2,0.094
107,SMAPV3048,0.2,0.075
108,SMAPV3001,0.219,0.15
108,SMAPV3002,0.163,0.131
108,SMAPV3003,0.194,0.094
108,SMAPV3004,0.075,0.125
108,SMAPV3005,0.163,0.119
108,SMAPV3006,0.069,0.131
108,SMAPV3007,0.169,0.113
108,SMAPV3008,0.256,0.225
108,SMAPV3009,0.238,0.138
108,SMAPV3010,0.131,0.144
108,SMAPV3011,0.131,0.144
108,SMAPV3012,0.131,0.144
108,SMAPV3013,0.456,0.131
108,SMAPV3014,0.431,0.338
108,SMAPV3015,0.344,0.444
108,SMAPV3016,0.275,0.794
108,SMAPV3017,0.188,0.963
108,SMAPV3018,0.288,0.913
108,SMAPV3019,0.181,1.294
108,SMAPV3020,0.163,1.056
108,SMAPV3021,0.3,0.888
108,SMAPV3022,0.369,0.388
108,SMAPV3023,0.363,0.225
108,SMAPV3024,0.256,0.575
108,SMAPV3025,0.338,0.694
108,SMAPV3026,0.375,1.188
108,SMAPV3027,1.163,0.888
108,SMAPV3028,0.413,0.575
108,SMAPV3029,0.213,0.575
108,SMAPV3030,0.219,0.906
108,SMAPV3031,0.25,1.044
108,SMAPV3032,0.156,1.106
108,SMAPV3033,0.131,1.094
108,SMAPV3034,0.15,1.013
108,SMAPV3035,0.319,1.169
108,SMAPV3036,0.475,1.306
108,SMAPV3037,0.519,1.131
108,SMAPV3038,0.575,0.806
108,SMAPV3039,0.431,0.688
108,SMAPV3040,0.375,0.581
108,SMAPV3041,0.4,0.538
108,SMAPV3042,0.288,0.275
108,SMAPV3043,0.338,0.15
108,SMAPV3044,0.356,0.144
108,SMAPV3045,0.275,0.163
108,SMAPV3046,0.25,0.163
108,SMAPV3047,0.194,0.131
108,SMAPV3048,0.188,0.156
109,SMAPV3001,0.131,0.156
109,SMAPV3002,0.15,0.138
109,SMAPV3003,0.15,0.163
109,SMAPV3004,0.181,0.169
109,SMAPV3005,0.125,0.131
109,SMAPV3006,0.231,0.163
109,SMAPV3007,0.206,0.194
109,SMAPV3008,0.294,0.238
109,SMAPV3009,0.244,0.175
109,SMAPV3010,0.2,0.156
109,SMAPV3011,0.131,0.169
109,SMAPV3012,0.2,0.175
109,SMAPV3013,0.394,0.438
109,SMAPV3014,0.706,0.638
109,SMAPV3015,0.963,0.281
109,SMAPV3016,0.331,0.481
109,SMAPV3017,0.244,0.694
109,SMAPV3018,0.288,0.644
109,SMAPV3019,0.169,0.681
109,SMAPV3020,0.263,0.613
109,SMAPV3021,0.169,0.625
109,SMAPV3022,0.15,0.238
109,SMAPV3023,0.188,0.075
109,SMAPV3024,0.288,0.056
109,SMAPV3025,0.113,0.044
109,SMAPV3026,0.106,0.075
109,SMAPV3027,0.094,0.044
109,SMAPV3028,0.156,0.119
109,SMAPV3029,0.2,0.125
109,SMAPV3030,0.238,0.469
109,SMAPV3031,0.256,0.644
109,SMAPV3032,0.256,0.644
109,SMAPV3033,0.363,0.644
109,SMAPV3034,0.288,0.644
109,SMAPV3035,0.319,0.606
109,SMAPV3036,0.769,0.756
109,SMAPV3037,1.15,1.038
109,SMAPV3038,0.819,0.95
109,SMAPV3039,0.394,1.681
109,SMAPV3040,0.375,0.8
109,SMAPV3041,0.319,1.313
109,SMAPV3042,0.288,0.588
109,SMAPV3043,0.294,0.231
109,SMAPV3044,0.425,0.156
109,SMAPV3045,0.281,0.219
109,SMAPV3046,0.3,0.188
109,SMAPV3047,0.175,0.163
109,SMAPV3048,0.181,0.163
110,SMAPV3001,0.181,0.15
110,SMAPV3002,0.181,0.163
110,SMAPV3003,0.169,0.163
110,SMAPV3004,0.181,0.138
110,SMAPV3005,0.2,0.163
110,SMAPV3006,0.156,0.169
110,SMAPV3007,0.181,0.144
110,SMAPV3008,0.169,0.163
110,SMAPV3009,0.175,0.156
110,SMAPV3010,0.188,0.144
110,SMAPV3011,0.181,0.163
110,SMAPV3012,0.169,0.175
110,SMAPV3013,0.519,0.244
110,SMAPV3014,0.313,0.3
110,SMAPV3015,0.888,0.425
110,SMAPV3016,0.306,0.45
110,SMAPV3017,0.113,0.606
110,SMAPV3018,0.088,0.631
110,SMAPV3019,0.081,0.619
110,SMAPV3020,0.125,0.706
110,SMAPV3021,0.125,0.65
110,SMAPV3022,0.119,0.256
110,SMAPV3023,0.088,0.069
110,SMAPV3024,0.106,0.069
110,SMAPV3025,0.075,0.075
110,SMAPV3026,0.094,0.069
110,SMAPV3027,0.081,0.05
110,SMAPV3028,0.113,0.063
110,SMAPV3029,0.063,0.075
110,SMAPV3030,0.106,0.438
110,SMAPV3031,0.075,0.619
110,SMAPV3032,0.138,0.638
110,SMAPV3033,0.175,0.625
110,SMAPV3034,0.256,0.638
110,SMAPV3035,0.619,0.631
110,SMAPV3036,1.581,0.725
110,SMAPV3037,0.956,0.919
110,SMAPV3038,0.488,0.681
110,SMAPV3039,0.381,0.619
110,SMAPV3040,0.356,0.631
110,SMAPV3041,0.231,0.569
110,SMAPV3042,0.25,0.688
110,SMAPV3043,0.3,0.375
110,SMAPV3044,0.225,0.169
110,SMAPV3045,0.231,0.238
110,SMAPV3046,0.231,0.15
110,SMAPV3047,0.231,0.138
110,SMAPV3048,0.131,0.144
111,SMAPV3001,0.25,0.144
111,SMAPV3002,0.188,0.156
111,SMAPV3003,0.188,0.138
111,SMAPV3004,0.156,0.125
111,SMAPV3005,0.2,0.163
111,SMAPV3006,0.194,0.156
111,SMAPV3007,0.181,0.131
111,SMAPV3008,0.175,0.156
111,SMAPV3009,0.188,0.156
111,SMAPV3010,0.15,0.131
111,SMAPV3011,0.163,0.15
111,SMAPV3012,0.144,0.156
111,SMAPV3013,0.488,0.244
111,SMAPV3014,0.344,0.519
111,SMAPV3015,0.788,0.494
111,SMAPV3016,0.313,0.463
111,SMAPV3017,0.131,0.619
111,SMAPV3018,0.081,0.625
111,SMAPV3019,0.081,0.631
111,SMAPV3020,0.088,0.619
111,SMAPV3021,0.088,0.638
111,SMAPV3022,0.106,0.338
111,SMAPV3023,0.05,0.081
111,SMAPV3024,0.119,0.075
111,SMAPV3025,0.063,0.075
111,SMAPV3026,0.106,0.069
111,SMAPV3027,0.056,0.069
111,SMAPV3028,0.113,0.05
111,SMAPV3029,0.081,0.063
111,SMAPV3030,0.081,0.469
111,SMAPV3031,0.094,0.638
111,SMAPV3032,0.088,0.644
111,SMAPV3033,0.269,0.669
111,SMAPV3034,0.4,0.638
111,SMAPV3035,1.094,0.663
111,SMAPV3036,0.788,1.263
111,SMAPV3037,0.469,1.556
111,SMAPV3038,1.188,0.75
111,SMAPV3039,0.519,0.469
111,SMAPV3040,0.35,0.806
111,SMAPV3041,0.363,0.781
111,SMAPV3042,0.3,0.65
111,SMAPV3043,0.306,0.725
111,SMAPV3044,0.288,0.469
111,SMAPV3045,0.288,0.644
111,SMAPV3046,0.2,0.319
111,SMAPV3047,0.119,0.169
111,SMAPV3048,0.088,0.113
112,SMAPV3001,0.1,0.131
112,SMAPV3002,0.138,0.125
112,SMAPV3003,0.106,0.106
112,SMAPV3004,0.125,0.131
112,SMAPV3005,0.094,0.113
112,SMAPV3006,0.156,0.1
112,SMAPV3007,0.113,0.131
112,SMAPV3008,0.138,0.113
112,SMAPV3009,0.088,0.113
112,SMAPV3010,0.163,0.138
112,SMAPV3011,0.125,0.106
112,SMAPV3012,0.144,0.113
112,SMAPV3013,0.456,0.125
112,SMAPV3014,0.4,0.594
112,SMAPV3015,0.688,0.55
112,SMAPV3016,0.219,0.875
112,SMAPV3017,0.163,1.013
112,SMAPV3018,0.081,0.688
112,SMAPV3019,0.094,0.688
112,SMAPV3020,0.081,0.688
112,SMAPV3021,0.088,0.638
112,SMAPV3022,0.106,0.256
112,SMAPV3023,0.069,0.125
112,SMAPV3024,0.131,0.15
112,SMAPV3025,0.113,1.319
112,SMAPV3026,0.163,0.356
112,SMAPV3027,0.206,0.188
112,SMAPV3028,0.1,0.156
112,SMAPV3029,0.106,0.375
112,SMAPV3030,0.088,0.644
112,SMAPV3031,0.106,0.875
112,SMAPV3032,0.144,1.169
112,SMAPV3033,0.144,2.075
112,SMAPV3034,0.344,1.025
112,SMAPV3035,0.306,1.85
112,SMAPV3036,0.55,1.1
112,SMAPV3037,0.844,1.313
112,SMAPV3038,1.05,0.738
112,SMAPV3039,0.969,0.7
112,SMAPV3040,0.35,0.575
112,SMAPV3041,0.45,0.55
112,SMAPV3042,0.444,0.538
112,SMAPV3043,0.356,0.738
112,SMAPV3044,0.388,0.138
112,SMAPV3045,0.225,0.775
112,SMAPV3046,0.231,0.05
112,SMAPV3047,0.15,0.081
112,SMAPV3048,0.088,0.163
113,SMAPV3001,0.138,0.094
113,SMAPV3002,0.138,0.075
113,SMAPV3003,0.163,0.075
113,SMAPV3004,0.138,0.081
113,SMAPV3005,0.138,0.069
113,SMAPV3006,0.094,0.056
113,SMAPV3007,0.138,0.05
113,SMAPV3008,0.081,0.081
113,SMAPV3009,0.156,0.044
113,SMAPV3010,0.125,0.075
113,SMAPV3011,0.144,0.05
113,SMAPV3012,0.069,0.081
113,SMAPV3013,0.4,0.044
113,SMAPV3014,0.219,0.2
113,SMAPV3015,0.688,0.575
113,SMAPV3016,0.319,0.675
113,SMAPV3017,0.325,0.931
113,SMAPV3018,0.281,1.275
113,SMAPV3019,0.231,1.138
113,SMAPV3020,0.3,0.744
113,SMAPV3021,0.288,0.738
113,SMAPV3022,0.381,0.344
113,SMAPV3023,0.225,0.294
113,SMAPV3024,0.194,0.556
113,SMAPV3025,0.131,0.175
113,SMAPV3026,0.169,0.181
113,SMAPV3027,0.206,0.163
113,SMAPV3028,0.325,0.1
113,SMAPV3029,0.213,0.144
113,SMAPV3030,0.244,0.469
113,SMAPV3031,0.2,0.638
113,SMAPV3032,0.225,0.681
113,SMAPV3033,0.313,0.625
113,SMAPV3034,0.4,0.894
113,SMAPV3035,0.75,0.938
113,SMAPV3036,0.288,1.031
113,SMAPV3037,0.375,1.169
113,SMAPV3038,0.388,0.613
113,SMAPV3039,0.381,0.513
113,SMAPV3040,0.563,0.656
113,SMAPV3041,0.594,0.6
113,SMAPV3042,0.275,0.131
113,SMAPV3043,0.338,0.075
113,SMAPV3044,0.313,0.069
113,SMAPV3045,0.3,0.081
113,SMAPV3046,0.219,0.075
113,SMAPV3047,0.325,0.088
113,SMAPV3048,0.319,0.206
114,SMAPV3001,0.275,0.119
114,SMAPV3002,0.113,0.1
114,SMAPV3003,0.163,0.106
114,SMAPV3004,0.088,0.106
114,SMAPV3005,0.169,0.1
114,SMAPV3006,0.094,0.106
114,SMAPV3007,0.181,0.081
114,SMAPV3008,0.1,0.094
114,SMAPV3009,0.156,0.131
114,SMAPV3010,0.119,0.113
114,SMAPV3011,0.181,0.081
114,SMAPV3012,0.088,0.138
114,SMAPV3013,0.175,0.088
114,SMAPV3014,0.35,0.119
114,SMAPV3015,0.813,0.225
114,SMAPV3016,0.425,0.888
114,SMAPV3017,0.325,1.069
114,SMAPV3018,0.381,1.05
114,SMAPV3019,0.425,1.25
114,SMAPV3020,0.3,1.6
114,SMAPV3021,0.375,1.675
114,SMAPV3022,0.375,0.7
114,SMAPV3023,0.238,0.475
114,SMAPV3024,0.419,0.425
114,SMAPV3025,0.238,0.519
114,SMAPV3026,0.088,0.263
114,SMAPV3027,0.088,0.2
114,SMAPV3028,0.088,0.263
114,SMAPV3029,0.106,0.225
114,SMAPV3030,0.081,0.544
114,SMAPV3031,0.088,0.644
114,SMAPV3032,0.181,0.631
114,SMAPV3033,0.281,0.656
114,SMAPV3034,0.231,0.638
114,SMAPV3035,0.369,0.663
114,SMAPV3036,0.463,0.644
114,SMAPV3037,0.619,0.675
114,SMAPV3038,1.231,0.263
114,SMAPV3039,0.813,0.088
114,SMAPV3040,0.306,0.081
114,SMAPV3041,0.425,0.331
114,SMAPV3042,0.3,0.744
114,SMAPV3043,0.275,0.581
114,SMAPV3044,0.281,0.356
114,SMAPV3045,0.25,0.181
114,SMAPV3046,0.325,0.2
114,SMAPV3047,0.288,0.163
114,SMAPV3048,0.175,0.15
115,SMAPV3001,0.15,0.138
115,SMAPV3002,0.094,0.138
115,SMAPV3003,0.138,0.131
115,SMAPV3004,0.094,0.125
115,SMAPV3005,0.106,0.131
115,SMAPV3006,0.156,0.15
115,SMAPV3007,0.1,0.131
115,SMAPV3008,0.125,0.131
115,SMAPV3009,0.1,0.15
115,SMAPV3010,0.144,0.125
115,SMAPV3011,0.156,0.131
115,SMAPV3012,0.081,0.144
115,SMAPV3013,0.163,0.125
115,SMAPV3014,0.856,0.5
115,SMAPV3015,0.3,1.1
115,SMAPV3016,0.269,0.906
115,SMAPV3017,0.344,0.988
115,SMAPV3018,0.238,0.975
115,SMAPV3019,0.363,0.969
115,SMAPV3020,0.769,1.138
115,SMAPV3021,0.238,0.669
115,SMAPV3022,0.294,0.356
115,SMAPV3023,0.15,0.581
115,SMAPV3024,0.219,0.806
115,SMAPV3025,0.169,1.056
115,SMAPV3026,0.081,0.525
115,SMAPV3027,0.119,0.581
115,SMAPV3028,0.05,0.363
115,SMAPV3029,0.119,0.238
115,SMAPV3030,0.081,0.625
115,SMAPV3031,0.094,0.769
115,SMAPV3032,0.081,0.806
115,SMAPV3033,0.131,1.031
115,SMAPV3034,0.3,1.1
115,SMAPV3035,0.294,1.1
115,SMAPV3036,1.088,1.244
115,SMAPV3037,0.881,1.469
115,SMAPV3038,0.594,0.988
115,SMAPV3039,0.431,0.813
115,SMAPV3040,0.5,0.706
115,SMAPV3041,0.394,0.65
115,SMAPV3042,0.275,0.469
115,SMAPV3043,0.244,0.194
115,SMAPV3044,0.375,0.156
115,SMAPV3045,0.269,0.119
115,SMAPV3046,0.263,0.131
115,SMAPV3047,0.163,0.244
115,SMAPV3048,0.125,0.131
116,SMAPV3001,0.144,0.144
116,SMAPV3002,0.113,0.144
116,SMAPV3003,0.125,0.138
116,SMAPV3004,0.144,0.15
116,SMAPV3005,0.131,0.131
116,SMAPV3006,0.125,0.113
116,SMAPV3007,0.106,0.144
116,SMAPV3008,0.163,0.125
116,SMAPV3009,0.106,0.113
116,SMAPV3010,0.131,0.15
116,SMAPV3011,0.169,0.131
116,SMAPV3012,0.113,0.119
116,SMAPV3013,0.619,0.181
116,SMAPV3014,0.4,0.994
116,SMAPV3015,0.563,0.619
116,SMAPV3016,0.431,0.463
116,SMAPV3017,0.288,0.6
116,SMAPV3018,0.325,0.631
116,SMAPV3019,0.194,0.606
116,SMAPV3020,0.113,0.719
116,SMAPV3021,0.256,0.656
116,SMAPV3022,0.138,0.25
116,SMAPV3023,0.219,0.069
116,SMAPV3024,0.219,0.075
116,SMAPV3025,0.175,0.075
116,SMAPV3026,0.225,0.044
116,SMAPV3027,0.156,0.056
116,SMAPV3028,0.175,0.069
116,SMAPV3029,0.206,0.05
116,SMAPV3030,0.188,0.45
116,SMAPV3031,0.213,0.631
116,SMAPV3032,0.213,0.613
116,SMAPV3033,0.25,1.069
116,SMAPV3034,0.244,1.25
116,SMAPV3035,0.569,1.006
116,SMAPV3036,0.556,1.125
116,SMAPV3037,1.081,1.138
116,SMAPV3038,0.55,0.8
116,SMAPV3039,0.494,0.713
116,SMAPV3040,0.406,0.744
116,SMAPV3041,0.381,0.75
116,SMAPV3042,0.281,0.725
116,SMAPV3043,0.506,0.538
116,SMAPV3044,0.556,0.625
116,SMAPV3045,0.269,0.569
116,SMAPV3046,0.156,0.45
116,SMAPV3047,0.156,0.144
116,SMAPV3048,0.181,0.131
117,SMAPV3001,0.181,0.125
117,SMAPV3002,0.194,0.131
117,SMAPV3003,0.206,0.138
117,SMAPV3004,0.119,0.131
117,SMAPV3005,0.156,0.15
117,SMAPV3006,0.15,0.15
117,SMAPV3007,0.119,0.131
117,SMAPV3008,0.188,0.15
117,SMAPV3009,0.125,0.156
117,SMAPV3010,0.15,0.131
117,SMAPV3011,0.156,0.15
117,SMAPV3012,0.131,0.15
117,SMAPV3013,0.494,0.125
117,SMAPV3014,0.325,0.8
117,SMAPV3015,0.794,0.6
117,SMAPV3016,0.413,1.294
117,SMAPV3017,0.181,1.231
117,SMAPV3018,0.094,1.269
117,SMAPV3019,0.106,1.144
117,SMAPV3020,0.094,0.844
117,SMAPV3021,0.075,0.85
117,SMAPV3022,0.106,0.319
117,SMAPV3023,0.081,0.256
117,SMAPV3024,0.113,0.45
117,SMAPV3025,0.05,0.263
117,SMAPV3026,0.113,0.281
117,SMAPV3027,0.1,0.294
117,SMAPV3028,0.081,0.356
117,SMAPV3029,0.1,0.344
117,SMAPV3030,0.088,0.319
117,SMAPV3031,0.119,0.356
117,SMAPV3032,0.088,0.806
117,SMAPV3033,0.338,0.95
117,SMAPV3034,0.313,1.038
117,SMAPV3035,0.738,1
117,SMAPV3036,0.6,1.731
117,SMAPV3037,0.544,1.081
117,SMAPV3038,0.463,1.013
117,SMAPV3039,0.356,1.169
117,SMAPV3040,0.425,1.075
117,SMAPV3041,0.469,0.825
117,SMAPV3042,0.294,0.688
117,SMAPV3043,0.288,0.306
117,SMAPV3044,0.294,0.15
117,SMAPV3045,0.406,0.156
117,SMAPV3046,0.119,0.15
117,SMAPV3047,0.131,0.131
117,SMAPV3048,0.15,0.138
118,SMAPV3001,0.131,0.15
118,SMAPV3002,0.169,0.15
118,SMAPV3003,0.119,0.131
118,SMAPV3004,0.138,0.138
118,SMAPV3005,0.144,0.144
118,SMAPV3006,0.138,0.125
118,SMAPV3007,0.156,0.138
118,SMAPV3008,0.1,0.156
118,SMAPV3009,0.169,0.15
118,SMAPV3010,0.138,0.119
118,SMAPV3011,0.119,0.144
118,SMAPV3012,0.381,0.144
118,SMAPV3013,0.344,0.144
118,SMAPV3014,0.488,0.494
118,SMAPV3015,0.625,0.663
118,SMAPV3016,0.3,0.606
118,SMAPV3017,0.125,1.006
118,SMAPV3018,0.088,0.969
118,SMAPV3019,0.1,0.944
118,SMAPV3020,0.113,0.938
118,SMAPV3021,0.15,1.063
118,SMAPV3022,0.125,1.544
118,SMAPV3023,0.069,0.531
118,SMAPV3024,0.113,1.294
118,SMAPV3025,0.113,0.444
118,SMAPV3026,0.063,0.513
118,SMAPV3027,0.119,0.45
118,SMAPV3028,0.088,0.381
118,SMAPV3029,0.1,0.356
118,SMAPV3030,0.081,0.394
118,SMAPV3031,0.088,0.706
118,SMAPV3032,0.219,0.644
118,SMAPV3033,0.538,0.938
118,SMAPV3034,0.463,0.981
118,SMAPV3035,0.613,1.056
118,SMAPV3036,0.794,1.075
118,SMAPV3037,0.744,0.613
118,SMAPV3038,0.619,0.625
118,SMAPV3039,0.456,0.606
118,SMAPV3040,0.431,0.638
118,SMAPV3041,0.325,0.613
118,SMAPV3042,0.269,0.55
118,SMAPV3043,0.263,0.544
118,SMAPV3044,0.294,0.194
118,SMAPV3045,0.244,0.138
118,SMAPV3046,0.238,0.15
118,SMAPV3047,0.119,0.144
118,SMAPV3048,0.119,0.144
119,SMAPV3001,0.156,0.119
119,SMAPV3002,0.138,0.156
119,SMAPV3003,0.15,0.156
119,SMAPV3004,0.15,0.131
119,SMAPV3005,0.213,0.15
119,SMAPV3006,0.188,0.156
119,SMAPV3007,0.113,0.138
119,SMAPV3008,0.156,0.144
119,SMAPV3009,0.181,0.169
119,SMAPV3010,0.119,0.15
119,SMAPV3011,0.194,0.156
119,SMAPV3012,0.125,0.169
119,SMAPV3013,0.563,0.238
119,SMAPV3014,0.363,0.725
119,SMAPV3015,0.619,0.6
119,SMAPV3016,0.244,0.556
119,SMAPV3017,0.125,1.188
119,SMAPV3018,0.106,1.381
119,SMAPV3019,0.063,1.263
119,SMAPV3020,0.125,1.15
119,SMAPV3021,0.069,1.163
119,SMAPV3022,0.094,1.238
119,SMAPV3023,0.094,0.519
119,SMAPV3024,0.094,0.25
119,SMAPV3025,0.1,0.05
119,SMAPV3026,0.069,0.181
119,SMAPV3027,0.119,0.206
119,SMAPV3028,0.075,0.231
119,SMAPV3029,0.088,0.213
119,SMAPV3030,0.094,0.2
119,SMAPV3031,0.094,0.763
119,SMAPV3032,0.2,0.744
119,SMAPV3033,0.194,0.744
119,SMAPV3034,0.256,0.869
119,SMAPV3035,0.763,0.994
119,SMAPV3036,1.438,1.044
119,SMAPV3037,1.2,0.669
119,SMAPV3038,0.519,0.563
119,SMAPV3039,0.475,0.569
119,SMAPV3040,0.575,0.619
119,SMAPV3041,0.2,0.6
119,SMAPV3042,0.25,0.55
119,SMAPV3043,0.269,0.638
119,SMAPV3044,0.281,0.556
119,SMAPV3045,0.244,0.225
119,SMAPV3046,0.213,0.138
119,SMAPV3047,0.081,0.15
119,SMAPV3048,0.175,0.125
120,SMAPV3001,0.131,0.125
120,SMAPV3002,0.144,0.15
120,SMAPV3003,0.119,0.138
120,SMAPV3004,0.163,0.131
120,SMAPV3005,0.163,0.2
120,SMAPV3006,0.144,0.106
120,SMAPV3007,0.138,0.044
120,SMAPV3008,0.144,0.075
120,SMAPV3009,0.175,0.063
120,SMAPV3010,0.125,0.044
120,SMAPV3011,0.181,0.1
120,SMAPV3012,0.175,0.131
120,SMAPV3013,0.544,0.213
120,SMAPV3014,0.406,0.756
120,SMAPV3015,0.538,1.575
120,SMAPV3016,0.269,0.85
120,SMAPV3017,0.244,1.769
120,SMAPV3018,0.181,1.3
120,SMAPV3019,0.231,1.119
120,SMAPV3020,0.188,0.869
120,SMAPV3021,0.188,1.9
120,SMAPV3022,0.063,1.119
120,SMAPV3023,0.113,0.381
120,SMAPV3024,0.144,1.844
120,SMAPV3025,0.231,0.269
120,SMAPV3026,0.244,0.081
120,SMAPV3027,0.225,0.094
120,SMAPV3028,0.125,0.063
120,SMAPV3029,0.069,0.063
120,SMAPV3030,0.119,0.075
120,SMAPV3031,0.3,0.631
120,SMAPV3032,0.275,0.625
120,SMAPV3033,0.2,0.656
120,SMAPV3034,0.313,0.663
120,SMAPV3035,0.338,0.631
120,SMAPV3036,0.469,0.638
120,SMAPV3037,0.463,0.163
120,SMAPV3038,0.681,0.1
120,SMAPV3039,1.094,0.075
120,SMAPV3040,0.206,0.075
120,SMAPV3041,0.469,0.075
120,SMAPV3042,0.45,0.069
120,SMAPV3043,0.288,0.063
120,SMAPV3044,0.363,0.05
120,SMAPV3045,0.356,0.069
120,SMAPV3046,0.294,0.069
120,SMAPV3047,0.169,0.044
120,SMAPV3048,0.138,0.069
121,SMAPV3001,0.094,0.044
121,SMAPV3002,0.175,0.075
121,SMAPV3003,0.125,0.05
121,SMAPV3004,0.15,0.069
121,SMAPV3005,0.131,0.05
121,SMAPV3006,0.163,0.069
121,SMAPV3007,0.138,0.05
121,SMAPV3008,0.15,0.069
121,SMAPV3009,0.194,0.05
121,SMAPV3010,0.188,0.175
121,SMAPV3011,0.125,0.075
121,SMAPV3012,0.169,0.088
121,SMAPV3013,0.456,0.056
121,SMAPV3014,0.344,0.063
121,SMAPV3015,0.394,0.05
121,SMAPV3016,0.313,0.069
121,SMAPV3017,0.269,0.6
121,SMAPV3018,0.294,0.638
121,SMAPV3019,0.119,0.6
121,SMAPV3020,0.419,0.644
121,SMAPV3021,0.194,0.6
121,SMAPV3022,0.281,0.638
121,SMAPV3023,0.219,0.063
121,SMAPV3024,0.263,0.069
121,SMAPV3025,0.219,0.056
121,SMAPV3026,0.219,0.056
121,SMAPV3027,0.306,0.069
121,SMAPV3028,0.325,0.05
121,SMAPV3029,0.875,0.069
121,SMAPV3030,0.675,0.05
121,SMAPV3031,0.125,0.638
121,SMAPV3032,0.15,0.625
121,SMAPV3033,0.288,0.65
121,SMAPV3034,0.144,0.638
121,SMAPV3035,0.238,0.644
121,SMAPV3036,0.713,0.644
121,SMAPV3037,1.3,0.175
121,SMAPV3038,1.125,0.088
121,SMAPV3039,0.425,0.081
121,SMAPV3040,0.375,0.075
121,SMAPV3041,0.6,0.069
121,SMAPV3042,0.363,0.075
121,SMAPV3043,0.338,0.063
121,SMAPV3044,0.319,0.044
121,SMAPV3045,0.263,0.081
121,SMAPV3046,0.306,0.044
121,SMAPV3047,0.263,0.069
121,SMAPV3048,0.175,0.056
122,SMAPV3001,0.138,0.063
122,SMAPV3002,0.088,0.063
122,SMAPV3003,0.119,0.063
122,SMAPV3004,0.081,0.056
122,SMAPV3005,0.138,0.063
122,SMAPV3006,0.131,0.069
122,SMAPV3007,0.144,0.044
122,SMAPV3008,0.138,0.075
122,SMAPV3009,0.15,0.038
122,SMAPV3010,0.1,0.075
122,SMAPV3011,0.131,0.063
122,SMAPV3012,0.15,0.15
122,SMAPV3013,0.106,0.088
122,SMAPV3014,0.344,0.081
122,SMAPV3015,0.369,0.044
122,SMAPV3016,0.45,0.069
122,SMAPV3017,0.225,0.606
122,SMAPV3018,0.231,0.638
122,SMAPV3019,0.381,0.606
122,SMAPV3020,0.2,0.619
122,SMAPV3021,0.194,0.619
122,SMAPV3022,0.113,0.625
122,SMAPV3023,0.075,0.069
122,SMAPV3024,0.306,0.056
122,SMAPV3025,0.094,0.069
122,SMAPV3026,0.119,0.05
122,SMAPV3027,0.063,0.075
122,SMAPV3028,0.131,0.069
122,SMAPV3029,0.069,0.475
122,SMAPV3030,0.1,0.375
122,SMAPV3031,0.088,0.844
122,SMAPV3032,0.106,0.863
122,SMAPV3033,0.163,0.806
122,SMAPV3034,0.231,0.875
122,SMAPV3035,0.306,1.169
122,SMAPV3036,1.2,1.7
122,SMAPV3037,1.106,1.306
122,SMAPV3038,0.706,0.613
122,SMAPV3039,0.431,0.613
122,SMAPV3040,0.244,0.563
122,SMAPV3041,0.294,0.531
122,SMAPV3042,0.275,0.125
122,SMAPV3043,0.244,0.056
122,SMAPV3044,0.331,0.081
122,SMAPV3045,0.319,0.075
122,SMAPV3046,0.231,0.069
122,SMAPV3047,0.188,0.044
122,SMAPV3048,0.225,0.088
123,SMAPV3001,0.181,0.125
123,SMAPV3002,0.244,0.131
123,SMAPV3003,0.094,0.169
123,SMAPV3004,0.2,0.125
123,SMAPV3005,0.144,0.106
123,SMAPV3006,0.175,0.1
123,SMAPV3007,0.138,0.138
123,SMAPV3008,0.206,0.106
123,SMAPV3009,0.106,0.138
123,SMAPV3010,0.206,0.081
123,SMAPV3011,0.138,0.131
123,SMAPV3012,0.375,0.106
123,SMAPV3013,0.256,0.469
123,SMAPV3014,0.3,0.544
123,SMAPV3015,0.625,0.344
123,SMAPV3016,0.294,0.075
