day,time,house1,house2
3,SMAPV3012,0.138,0.481
3,SMAPV3013,0.113,0.481
3,SMAPV3014,0.088,0.475
3,SMAPV3015,0.144,0.463
3,SMAPV3016,0.275,0.856
3,SMAPV3017,0.325,1.194
3,SMAPV3018,0.244,1.031
3,SMAPV3019,0.294,1.1
3,SMAPV3020,0.2,0.981
3,SMAPV3021,0.425,0.844
3,SMAPV3022,0.331,0.45
3,SMAPV3023,0.219,0.138
3,SMAPV3024,0.119,0.094
3,SMAPV3025,0.181,0.075
3,SMAPV3026,0.1,0.406
3,SMAPV3027,0.175,0.744
3,SMAPV3028,0.131,0.806
3,SMAPV3029,0.144,0.788
3,SMAPV3030,0.094,0.7
3,SMAPV3031,0.138,0.706
3,SMAPV3032,0.094,0.75
3,SMAPV3033,1.013,0.788
3,SMAPV3034,1.544,0.75
3,SMAPV3035,1.663,0.781
3,SMAPV3036,1.644,0.575
3,SMAPV3037,2,0.231
3,SMAPV3038,2.056,0.325
3,SMAPV3039,0.95,0.338
3,SMAPV3040,0.244,0.375
3,SMAPV3041,0.288,0.413
3,SMAPV3042,0.344,0.419
3,SMAPV3043,0.288,0.269
3,SMAPV3044,0.288,0.094
3,SMAPV3045,0.181,0.1
3,SMAPV3046,0.081,0.075
3,SMAPV3047,0.15,0.088
3,SMAPV3048,0.081,0.081
4,SMAPV3001,0.125,0.094
4,SMAPV3002,0.138,0.069
4,SMAPV3003,0.094,0.081
4,SMAPV3004,0.125,0.131
4,SMAPV3005,0.138,0.125
4,SMAPV3006,0.131,0.113
4,SMAPV3007,0.144,0.088
4,SMAPV3008,0.113,0.1
4,SMAPV3009,0.113,0.069
4,SMAPV3010,0.075,0.094
4,SMAPV3011,0.369,0.069
4,SMAPV3012,0.206,0.219
4,SMAPV3013,0.225,0.575
4,SMAPV3014,0.306,0.269
4,SMAPV3015,0.294,0.106
4,SMAPV3016,0.231,0.35
4,SMAPV3017,0.106,0.675
4,SMAPV3018,0.113,0.694
4,SMAPV3019,0.388,0.656
4,SMAPV3020,0.444,0.444
4,SMAPV3021,0.163,0
4,SMAPV3022,0.181,0.188
4,SMAPV3023,0.131,0.2
4,SMAPV3024,0.1,0.1
4,SMAPV3025,0.125,0.081
4,SMAPV3026,0.088,0.1
4,SMAPV3027,0.138,0.075
4,SMAPV3028,0.081,0.138
4,SMAPV3029,0.163,0.156
4,SMAPV3030,0.113,0.456
4,SMAPV3031,0.238,0.738
4,SMAPV3032,0.375,0.8
4,SMAPV3033,0.444,0.694
4,SMAPV3034,0.463,0.725
4,SMAPV3035,0.363,0.731
4,SMAPV3036,0.819,0.813
4,SMAPV3037,0.569,0.444
4,SMAPV3038,0.288,0.469
4,SMAPV3039,0.288,0.488
4,SMAPV3040,0.375,0.969
4,SMAPV3041,0.194,0.844
4,SMAPV3042,0.275,0.669
4,SMAPV3043,0.138,0.294
4,SMAPV3044,0.144,0.131
4,SMAPV3045,0.119,0.138
4,SMAPV3046,0.119,0.131
4,SMAPV3047,0.144,0.119
4,SMAPV3048,0.138,0.1
5,SMAPV3001,0.081,0.094
5,SMAPV3002,0.156,0.138
5,SMAPV3003,0.081,0.094
5,SMAPV3004,0.119,0.1
5,SMAPV3005,0.106,0.094
5,SMAPV3006,0.113,0.088
5,SMAPV3007,0.106,0.1
5,SMAPV3008,0.094,0.088
5,SMAPV3009,0.144,0.081
5,SMAPV3010,0.069,0.1
5,SMAPV3011,0.131,0.081
5,SMAPV3012,0.106,0.25
5,SMAPV3013,0.331,0.444
5,SMAPV3014,0.269,0.225
5,SMAPV3015,0.256,0.213
5,SMAPV3016,0.325,0.669
5,SMAPV3017,0.475,0.688
5,SMAPV3018,0.319,0.844
5,SMAPV3019,0.144,0.75
5,SMAPV3020,0.15,0.769
5,SMAPV3021,0.125,0.713
5,SMAPV3022,0.113,0.7
5,SMAPV3023,0.175,0.713
5,SMAPV3024,0.175,0.688
5,SMAPV3025,0.125,0.731
5,SMAPV3026,0.163,0.725
5,SMAPV3027,0.119,0.694
5,SMAPV3028,0.131,0.7
5,SMAPV3029,0.106,0.719
5,SMAPV3030,0.156,0.719
5,SMAPV3031,0.181,0.781
5,SMAPV3032,1.6,0.744
5,SMAPV3033,1.475,0.906
5,SMAPV3034,1.588,0.75
5,SMAPV3035,2.275,0.75
5,SMAPV3036,2.106,1.513
5,SMAPV3037,1.6,1.025
5,SMAPV3038,1.538,0.881
5,SMAPV3039,1.481,0.819
5,SMAPV3040,1.538,0.619
5,SMAPV3041,0.3,0.738
5,SMAPV3042,0.225,0.813
5,SMAPV3043,0.25,0.531
5,SMAPV3044,0.238,0.481
5,SMAPV3045,0.15,0.5
5,SMAPV3046,0.138,0.469
5,SMAPV3047,0.106,0.206
5,SMAPV3048,0.15,0.188
6,SMAPV3001,0.088,0.181
6,SMAPV3002,0.144,0.156
6,SMAPV3003,0.1,0.156
6,SMAPV3004,0.113,0.156
6,SMAPV3005,0.138,0.144
6,SMAPV3006,0.075,0.156
6,SMAPV3007,0.15,0.144
6,SMAPV3008,0.106,0.175
6,SMAPV3009,0.113,0.156
6,SMAPV3010,0.125,0.144
6,SMAPV3011,0.094,0.15
6,SMAPV3012,0.113,0.163
6,SMAPV3013,0.213,0.431
6,SMAPV3014,0.281,0.375
6,SMAPV3015,0.319,0.744
6,SMAPV3016,0.35,0.875
6,SMAPV3017,0.238,0.956
6,SMAPV3018,0.144,0.769
6,SMAPV3019,0.15,2.069
6,SMAPV3020,0.119,2.463
6,SMAPV3021,0.144,2.456
6,SMAPV3022,0.163,2.181
6,SMAPV3023,0.138,1.9
6,SMAPV3024,0.106,1.925
6,SMAPV3025,0.525,1.944
6,SMAPV3026,1.569,1.931
6,SMAPV3027,2.319,2.163
6,SMAPV3028,1.713,1.613
6,SMAPV3029,1.706,2.631
6,SMAPV3030,1.688,2.619
6,SMAPV3031,1.681,2.581
6,SMAPV3032,1.675,2.538
6,SMAPV3033,1.713,2.556
6,SMAPV3034,1.675,2.569
6,SMAPV3035,2.356,2.188
6,SMAPV3036,2.263,1.925
6,SMAPV3037,2.288,1.944
6,SMAPV3038,2.175,2.263
6,SMAPV3039,1.656,0.644
6,SMAPV3040,2.15,0.675
6,SMAPV3041,2.275,0.638
6,SMAPV3042,2.119,0.525
6,SMAPV3043,2.113,0.206
6,SMAPV3044,2.088,0.181
6,SMAPV3045,2.044,0.194
6,SMAPV3046,1.963,0.231
6,SMAPV3047,0.925,0.2
6,SMAPV3048,0.669,0.194
7,SMAPV3001,0.325,0.175
7,SMAPV3002,0.156,0.188
